country,gm_GNP,income,happy
Uk,0.5404,3,3
Uk,0.5404,5,3
Uk,0.5404,3,3
Uk,0.5404,9,3
Uk,0.5404,0,4
W. Germany,1.1624,7,2
W. Germany,1.1624,1,3
W. Germany,1.1624,2,3
W. Germany,1.1624,7,1
W. Germany,1.1624,0,3
W. Germany,1.1624,1,3
W. Germany,1.1624,1,4
W. Germany,1.1624,1,3
W. Germany,1.1624,2,2
W. Germany,1.1624,3,3
W. Germany,1.1624,1,3
W. Germany,1.1624,7,3
W. Germany,1.1624,1,3
W. Germany,1.1624,5,3
W. Germany,1.1624,6,3
W. Germany,1.1624,7,3
W. Germany,1.1624,6,3
W. Germany,1.1624,5,3
W. Germany,1.1624,9,3
W. Germany,1.1624,5,4
W. Germany,1.1624,8,3
W. Germany,1.1624,1,3
W. Germany,1.1624,3,3
W. Germany,1.1624,2,3
W. Germany,1.1624,3,4
W. Germany,1.1624,1,3
W. Germany,1.1624,1,2
W. Germany,1.1624,9,3
W. Germany,1.1624,1,3
W. Germany,1.1624,4,3
W. Germany,1.1624,1,3
W. Germany,1.1624,1,3
W. Germany,1.1624,4,3
W. Germany,1.1624,4,3
W. Germany,1.1624,1,2
W. Germany,1.1624,5,4
W. Germany,1.1624,2,3
W. Germany,1.1624,2,3
W. Germany,1.1624,7,3
W. Germany,1.1624,1,3
W. Germany,1.1624,5,4
W. Germany,1.1624,1,4
W. Germany,1.1624,1,2
W. Germany,1.1624,2,3
W. Germany,1.1624,7,4
W. Germany,1.1624,4,3
W. Germany,1.1624,0,3
W. Germany,1.1624,9,3
W. Germany,1.1624,2,3
W. Germany,1.1624,1,3
W. Germany,1.1624,9,4
W. Germany,1.1624,5,4
W. Germany,1.1624,3,3
W. Germany,1.1624,2,3
W. Germany,1.1624,2,3
W. Germany,1.1624,1,3
W. Germany,1.1624,4,4
W. Germany,1.1624,1,3
W. Germany,1.1624,3,4
W. Germany,1.1624,7,3
W. Germany,1.1624,6,4
W. Germany,1.1624,5,3
W. Germany,1.1624,3,3
W. Germany,1.1624,2,3
W. Germany,1.1624,2,3
W. Germany,1.1624,2,4
W. Germany,1.1624,7,3
W. Germany,1.1624,2,3
W. Germany,1.1624,0,2
W. Germany,1.1624,3,3
W. Germany,1.1624,4,3
W. Germany,1.1624,6,3
W. Germany,1.1624,2,4
W. Germany,1.1624,6,3
W. Germany,1.1624,4,3
W. Germany,1.1624,2,3
W. Germany,1.1624,1,2
W. Germany,1.1624,3,3
W. Germany,1.1624,1,3
W. Germany,1.1624,5,4
W. Germany,1.1624,2,3
W. Germany,1.1624,2,3
W. Germany,1.1624,2,3
W. Germany,1.1624,6,3
W. Germany,1.1624,6,3
W. Germany,1.1624,9,3
W. Germany,1.1624,1,2
W. Germany,1.1624,3,3
W. Germany,1.1624,7,4
W. Germany,1.1624,1,3
W. Germany,1.1624,0,2
W. Germany,1.1624,1,3
W. Germany,1.1624,0,3
W. Germany,1.1624,4,4
W. Germany,1.1624,0,2
W. Germany,1.1624,2,3
W. Germany,1.1624,1,4
W. Germany,1.1624,4,3
W. Germany,1.1624,3,3
W. Germany,1.1624,3,3
W. Germany,1.1624,0,3
W. Germany,1.1624,3,3
W. Germany,1.1624,9,2
W. Germany,1.1624,0,3
W. Germany,1.1624,2,3
W. Germany,1.1624,1,4
W. Germany,1.1624,2,3
W. Germany,1.1624,2,3
W. Germany,1.1624,0,3
W. Germany,1.1624,1,3
W. Germany,1.1624,3,3
W. Germany,1.1624,9,3
W. Germany,1.1624,1,3
W. Germany,1.1624,0,4
W. Germany,1.1624,0,3
W. Germany,1.1624,0,2
W. Germany,1.1624,2,3
W. Germany,1.1624,7,4
W. Germany,1.1624,2,3
W. Germany,1.1624,2,3
W. Germany,1.1624,3,3
W. Germany,1.1624,3,4
W. Germany,1.1624,5,3
W. Germany,1.1624,9,3
W. Germany,1.1624,3,3
W. Germany,1.1624,2,3
W. Germany,1.1624,0,1
W. Germany,1.1624,3,3
W. Germany,1.1624,2,3
W. Germany,1.1624,6,3
W. Germany,1.1624,0,2
W. Germany,1.1624,0,3
W. Germany,1.1624,4,2
W. Germany,1.1624,2,3
W. Germany,1.1624,4,3
W. Germany,1.1624,4,3
W. Germany,1.1624,4,3
W. Germany,1.1624,8,3
W. Germany,1.1624,0,4
W. Germany,1.1624,1,3
W. Germany,1.1624,5,2
W. Germany,1.1624,0,3
W. Germany,1.1624,2,3
W. Germany,1.1624,3,3
W. Germany,1.1624,2,1
W. Germany,1.1624,4,3
W. Germany,1.1624,0,2
W. Germany,1.1624,3,4
W. Germany,1.1624,0,2
W. Germany,1.1624,0,2
W. Germany,1.1624,2,3
W. Germany,1.1624,2,3
W. Germany,1.1624,7,3
W. Germany,1.1624,1,3
W. Germany,1.1624,4,3
W. Germany,1.1624,2,3
W. Germany,1.1624,3,3
W. Germany,1.1624,7,4
W. Germany,1.1624,4,3
W. Germany,1.1624,1,3
W. Germany,1.1624,4,3
W. Germany,1.1624,8,3
W. Germany,1.1624,5,3
W. Germany,1.1624,5,3
W. Germany,1.1624,3,2
W. Germany,1.1624,4,2
W. Germany,1.1624,1,3
W. Germany,1.1624,5,3
W. Germany,1.1624,1,3
W. Germany,1.1624,0,4
W. Germany,1.1624,7,3
W. Germany,1.1624,1,3
W. Germany,1.1624,3,2
W. Germany,1.1624,1,3
W. Germany,1.1624,3,3
W. Germany,1.1624,9,3
W. Germany,1.1624,0,1
W. Germany,1.1624,1,4
W. Germany,1.1624,0,2
W. Germany,1.1624,4,3
W. Germany,1.1624,5,4
W. Germany,1.1624,9,3
W. Germany,1.1624,4,3
W. Germany,1.1624,0,3
W. Germany,1.1624,6,3
W. Germany,1.1624,1,3
W. Germany,1.1624,1,3
W. Germany,1.1624,3,3
W. Germany,1.1624,2,4
W. Germany,1.1624,9,4
W. Germany,1.1624,6,4
W. Germany,1.1624,2,3
W. Germany,1.1624,1,3
W. Germany,1.1624,1,3
W. Germany,1.1624,9,3
W. Germany,1.1624,1,4
W. Germany,1.1624,1,3
W. Germany,1.1624,1,3
W. Germany,1.1624,4,3
W. Germany,1.1624,8,3
W. Germany,1.1624,2,3
W. Germany,1.1624,2,2
W. Germany,1.1624,3,3
W. Germany,1.1624,2,3
W. Germany,1.1624,2,3
W. Germany,1.1624,5,3
W. Germany,1.1624,7,4
W. Germany,1.1624,1,3
W. Germany,1.1624,2,2
W. Germany,1.1624,2,3
W. Germany,1.1624,3,3
W. Germany,1.1624,2,3
W. Germany,1.1624,7,3
W. Germany,1.1624,2,4
W. Germany,1.1624,7,2
W. Germany,1.1624,3,2
W. Germany,1.1624,2,3
W. Germany,1.1624,6,3
W. Germany,1.1624,1,3
W. Germany,1.1624,3,3
W. Germany,1.1624,0,2
W. Germany,1.1624,5,4
Italy,0.6134,3,3
Italy,0.6134,2,3
Italy,0.6134,2,4
Italy,0.6134,2,3
Italy,0.6134,2,3
Italy,0.6134,1,2
Italy,0.6134,1,3
Italy,0.6134,3,2
Italy,0.6134,3,3
Italy,0.6134,3,3
Italy,0.6134,2,3
Italy,0.6134,1,3
Italy,0.6134,3,3
Italy,0.6134,4,4
Italy,0.6134,2,3
Italy,0.6134,3,4
Italy,0.6134,2,3
Italy,0.6134,6,3
Italy,0.6134,8,2
Italy,0.6134,2,3
Italy,0.6134,3,4
Italy,0.6134,2,4
Italy,0.6134,1,2
Italy,0.6134,3,3
Italy,0.6134,2,3
Italy,0.6134,2,3
Italy,0.6134,2,3
Italy,0.6134,3,4
Italy,0.6134,3,3
Italy,0.6134,4,3
Italy,0.6134,3,3
Italy,0.6134,2,3
Italy,0.6134,2,3
Italy,0.6134,3,3
Italy,0.6134,3,2
Italy,0.6134,2,3
Italy,0.6134,3,3
Italy,0.6134,0,3
Italy,0.6134,4,3
Italy,0.6134,1,3
Italy,0.6134,3,3
Italy,0.6134,2,3
Italy,0.6134,2,3
Italy,0.6134,2,3
Italy,0.6134,1,2
Italy,0.6134,0,3
Italy,0.6134,1,3
Italy,0.6134,4,3
Italy,0.6134,1,2
Italy,0.6134,2,3
Italy,0.6134,2,3
Italy,0.6134,5,3
Italy,0.6134,1,3
Italy,0.6134,4,3
Italy,0.6134,1,4
Italy,0.6134,3,2
Italy,0.6134,5,3
Italy,0.6134,2,3
Italy,0.6134,3,4
Italy,0.6134,2,2
Italy,0.6134,2,3
Italy,0.6134,5,3
Italy,0.6134,4,4
Italy,0.6134,3,3
Italy,0.6134,2,2
Italy,0.6134,3,3
Italy,0.6134,2,3
Italy,0.6134,2,3
Italy,0.6134,4,4
Italy,0.6134,2,1
Italy,0.6134,2,4
Italy,0.6134,5,3
Italy,0.6134,7,3
Italy,0.6134,5,2
Italy,0.6134,4,3
Italy,0.6134,3,3
Italy,0.6134,3,3
Italy,0.6134,0,4
Italy,0.6134,3,3
Italy,0.6134,0,2
Italy,0.6134,3,2
Italy,0.6134,3,3
Italy,0.6134,2,2
Italy,0.6134,2,2
Italy,0.6134,2,2
Italy,0.6134,1,3
Italy,0.6134,2,3
Italy,0.6134,1,4
Italy,0.6134,2,3
Italy,0.6134,3,4
Italy,0.6134,2,3
Italy,0.6134,2,3
Italy,0.6134,4,2
Italy,0.6134,2,3
Italy,0.6134,4,3
Italy,0.6134,2,4
Italy,0.6134,3,2
Italy,0.6134,4,3
Italy,0.6134,4,3
Italy,0.6134,1,2
Italy,0.6134,2,3
Italy,0.6134,1,3
Italy,0.6134,3,3
Italy,0.6134,2,2
Italy,0.6134,2,3
Italy,0.6134,2,4
Italy,0.6134,2,4
Italy,0.6134,4,4
Italy,0.6134,4,3
Italy,0.6134,2,3
Italy,0.6134,2,3
Italy,0.6134,3,3
Italy,0.6134,2,3
Italy,0.6134,5,3
Italy,0.6134,1,4
Italy,0.6134,1,3
Italy,0.6134,0,2
Italy,0.6134,2,3
Italy,0.6134,2,3
Italy,0.6134,3,3
Italy,0.6134,2,4
Italy,0.6134,4,2
Italy,0.6134,2,4
Italy,0.6134,0,3
Italy,0.6134,2,3
Italy,0.6134,1,2
Italy,0.6134,2,3
Italy,0.6134,2,3
Italy,0.6134,2,3
Italy,0.6134,2,3
Italy,0.6134,3,3
Italy,0.6134,3,3
Italy,0.6134,3,2
Italy,0.6134,2,3
Italy,0.6134,2,3
Italy,0.6134,3,4
Italy,0.6134,2,3
Italy,0.6134,2,4
Italy,0.6134,4,3
Italy,0.6134,3,3
Italy,0.6134,2,3
Italy,0.6134,3,4
Italy,0.6134,3,3
Italy,0.6134,3,3
Italy,0.6134,3,3
Italy,0.6134,3,4
Italy,0.6134,4,3
Italy,0.6134,3,3
Italy,0.6134,6,3
Italy,0.6134,3,3
Italy,0.6134,2,2
Italy,0.6134,4,3
Italy,0.6134,2,3
Italy,0.6134,0,2
Italy,0.6134,3,3
Italy,0.6134,3,3
Italy,0.6134,2,3
Italy,0.6134,0,3
Italy,0.6134,5,3
Italy,0.6134,2,3
Italy,0.6134,2,4
Italy,0.6134,2,1
Italy,0.6134,3,3
Italy,0.6134,5,3
Italy,0.6134,2,4
Italy,0.6134,2,3
Italy,0.6134,5,3
Italy,0.6134,2,3
Italy,0.6134,3,3
Italy,0.6134,0,3
Italy,0.6134,2,3
Italy,0.6134,3,2
Italy,0.6134,2,3
Italy,0.6134,2,3
Italy,0.6134,1,3
Italy,0.6134,3,4
Italy,0.6134,1,3
Italy,0.6134,2,3
Italy,0.6134,1,3
Italy,0.6134,2,3
Italy,0.6134,2,3
Italy,0.6134,4,3
Italy,0.6134,2,3
Italy,0.6134,1,3
Italy,0.6134,2,3
Italy,0.6134,2,3
Italy,0.6134,2,3
Italy,0.6134,5,3
Italy,0.6134,3,3
Italy,0.6134,2,3
Italy,0.6134,1,3
Italy,0.6134,1,3
Netherlands,0.6623999999999999,0,3
Netherlands,0.6623999999999999,8,3
Netherlands,0.6623999999999999,2,3
Netherlands,0.6623999999999999,0,3
Netherlands,0.6623999999999999,4,3
Netherlands,0.6623999999999999,9,4
Netherlands,0.6623999999999999,3,3
Netherlands,0.6623999999999999,7,3
Netherlands,0.6623999999999999,9,4
Netherlands,0.6623999999999999,3,3
Netherlands,0.6623999999999999,0,3
Netherlands,0.6623999999999999,6,4
Netherlands,0.6623999999999999,5,1
Netherlands,0.6623999999999999,0,3
Netherlands,0.6623999999999999,8,4
Netherlands,0.6623999999999999,9,3
Netherlands,0.6623999999999999,5,3
Netherlands,0.6623999999999999,9,4
Netherlands,0.6623999999999999,9,4
Netherlands,0.6623999999999999,8,4
Netherlands,0.6623999999999999,7,3
Netherlands,0.6623999999999999,3,3
Netherlands,0.6623999999999999,9,4
Netherlands,0.6623999999999999,3,4
Netherlands,0.6623999999999999,3,4
Netherlands,0.6623999999999999,4,4
Netherlands,0.6623999999999999,8,4
Netherlands,0.6623999999999999,1,3
Netherlands,0.6623999999999999,7,3
Netherlands,0.6623999999999999,4,4
Netherlands,0.6623999999999999,2,3
Netherlands,0.6623999999999999,9,3
Netherlands,0.6623999999999999,7,4
Netherlands,0.6623999999999999,1,4
Netherlands,0.6623999999999999,5,3
Netherlands,0.6623999999999999,6,3
Netherlands,0.6623999999999999,5,3
Netherlands,0.6623999999999999,5,4
Netherlands,0.6623999999999999,9,3
Netherlands,0.6623999999999999,6,4
Netherlands,0.6623999999999999,5,4
Netherlands,0.6623999999999999,6,4
Netherlands,0.6623999999999999,6,4
Netherlands,0.6623999999999999,4,3
Netherlands,0.6623999999999999,2,3
Netherlands,0.6623999999999999,7,3
Netherlands,0.6623999999999999,4,3
Netherlands,0.6623999999999999,6,3
Netherlands,0.6623999999999999,0,3
Netherlands,0.6623999999999999,6,4
Netherlands,0.6623999999999999,9,3
Netherlands,0.6623999999999999,8,3
Netherlands,0.6623999999999999,4,3
Netherlands,0.6623999999999999,1,4
Netherlands,0.6623999999999999,4,4
Netherlands,0.6623999999999999,5,4
Netherlands,0.6623999999999999,5,3
Netherlands,0.6623999999999999,1,4
Netherlands,0.6623999999999999,6,3
Netherlands,0.6623999999999999,6,4
Netherlands,0.6623999999999999,3,3
Netherlands,0.6623999999999999,3,4
Netherlands,0.6623999999999999,6,4
Netherlands,0.6623999999999999,7,4
Netherlands,0.6623999999999999,5,3
Netherlands,0.6623999999999999,5,3
Netherlands,0.6623999999999999,2,4
Netherlands,0.6623999999999999,2,3
Netherlands,0.6623999999999999,3,3
Netherlands,0.6623999999999999,1,1
Netherlands,0.6623999999999999,9,3
Netherlands,0.6623999999999999,1,4
Netherlands,0.6623999999999999,5,4
Netherlands,0.6623999999999999,9,3
Netherlands,0.6623999999999999,1,4
Netherlands,0.6623999999999999,9,3
Netherlands,0.6623999999999999,3,4
Netherlands,0.6623999999999999,8,4
Netherlands,0.6623999999999999,4,3
Netherlands,0.6623999999999999,5,4
Netherlands,0.6623999999999999,4,3
Netherlands,0.6623999999999999,3,3
Netherlands,0.6623999999999999,3,2
Netherlands,0.6623999999999999,2,3
Netherlands,0.6623999999999999,5,3
Netherlands,0.6623999999999999,0,4
Netherlands,0.6623999999999999,7,3
Netherlands,0.6623999999999999,6,3
Netherlands,0.6623999999999999,6,3
Netherlands,0.6623999999999999,2,3
Netherlands,0.6623999999999999,2,3
Netherlands,0.6623999999999999,0,3
Netherlands,0.6623999999999999,0,1
Netherlands,0.6623999999999999,0,3
Netherlands,0.6623999999999999,0,2
Netherlands,0.6623999999999999,0,3
Netherlands,0.6623999999999999,2,4
Netherlands,0.6623999999999999,3,4
Netherlands,0.6623999999999999,1,3
Netherlands,0.6623999999999999,5,4
Netherlands,0.6623999999999999,4,4
Netherlands,0.6623999999999999,6,3
Netherlands,0.6623999999999999,8,4
Netherlands,0.6623999999999999,1,3
Netherlands,0.6623999999999999,0,2
Netherlands,0.6623999999999999,0,3
Netherlands,0.6623999999999999,5,4
Netherlands,0.6623999999999999,2,4
Netherlands,0.6623999999999999,5,3
Netherlands,0.6623999999999999,7,4
Netherlands,0.6623999999999999,6,4
Netherlands,0.6623999999999999,0,4
Netherlands,0.6623999999999999,3,3
Netherlands,0.6623999999999999,0,3
Denmark,1.1384,0,4
Denmark,1.1384,0,3
Denmark,1.1384,0,2
Denmark,1.1384,0,4
Denmark,1.1384,1,4
Denmark,1.1384,1,4
Denmark,1.1384,0,2
Denmark,1.1384,0,4
Denmark,1.1384,3,3
Denmark,1.1384,1,3
Denmark,1.1384,5,3
Denmark,1.1384,0,2
Denmark,1.1384,4,3
Denmark,1.1384,3,3
Denmark,1.1384,4,4
Denmark,1.1384,2,3
Denmark,1.1384,5,3
Denmark,1.1384,4,2
Denmark,1.1384,5,3
Denmark,1.1384,6,4
Denmark,1.1384,6,3
Denmark,1.1384,5,4
Denmark,1.1384,7,4
Denmark,1.1384,4,3
Denmark,1.1384,6,3
Denmark,1.1384,8,4
Denmark,1.1384,7,3
Denmark,1.1384,6,4
Denmark,1.1384,8,3
Denmark,1.1384,9,3
Denmark,1.1384,5,3
Denmark,1.1384,2,3
Denmark,1.1384,3,4
Denmark,1.1384,2,3
Denmark,1.1384,2,3
Denmark,1.1384,1,4
Denmark,1.1384,7,3
Denmark,1.1384,7,4
Denmark,1.1384,4,3
Denmark,1.1384,2,4
Denmark,1.1384,5,4
Denmark,1.1384,6,4
Denmark,1.1384,7,4
Denmark,1.1384,7,4
Denmark,1.1384,8,3
Denmark,1.1384,6,4
Denmark,1.1384,4,4
Denmark,1.1384,4,3
Denmark,1.1384,3,3
Denmark,1.1384,0,4
Denmark,1.1384,0,4
Denmark,1.1384,9,3
Denmark,1.1384,2,3
Denmark,1.1384,2,3
Denmark,1.1384,1,3
Denmark,1.1384,4,3
Denmark,1.1384,1,3
Denmark,1.1384,6,4
Denmark,1.1384,1,3
Denmark,1.1384,3,3
Denmark,1.1384,2,4
Denmark,1.1384,3,3
Denmark,1.1384,1,3
Denmark,1.1384,2,3
Denmark,1.1384,3,4
Denmark,1.1384,5,4
Denmark,1.1384,1,3
Denmark,1.1384,2,3
Denmark,1.1384,4,3
Denmark,1.1384,7,4
Denmark,1.1384,3,4
Denmark,1.1384,5,4
Denmark,1.1384,9,3
Denmark,1.1384,6,4
Denmark,1.1384,7,3
Denmark,1.1384,5,3
Denmark,1.1384,2,2
Denmark,1.1384,5,4
Denmark,1.1384,9,3
Denmark,1.1384,5,3
Denmark,1.1384,4,4
Denmark,1.1384,5,4
Denmark,1.1384,4,3
Denmark,1.1384,9,4
Denmark,1.1384,6,3
Denmark,1.1384,9,4
Denmark,1.1384,7,4
Denmark,1.1384,9,3
Denmark,1.1384,5,3
Denmark,1.1384,6,3
Denmark,1.1384,9,3
Denmark,1.1384,6,3
Denmark,1.1384,7,4
Denmark,1.1384,9,4
Denmark,1.1384,3,3
Denmark,1.1384,5,4
Denmark,1.1384,6,4
Denmark,1.1384,6,3
Denmark,1.1384,4,4
Denmark,1.1384,6,3
Denmark,1.1384,2,4
Denmark,1.1384,5,3
Denmark,1.1384,3,3
Denmark,1.1384,3,3
Denmark,1.1384,1,3
Denmark,1.1384,3,4
Denmark,1.1384,3,4
Denmark,1.1384,0,4
Denmark,1.1384,9,4
Denmark,1.1384,2,3
Denmark,1.1384,0,3
Denmark,1.1384,9,4
Belgium,0.48439999999999994,2,4
Belgium,0.48439999999999994,7,3
Belgium,0.48439999999999994,4,2
Belgium,0.48439999999999994,8,4
Belgium,0.48439999999999994,7,4
Belgium,0.48439999999999994,5,4
Belgium,0.48439999999999994,4,3
Belgium,0.48439999999999994,3,4
Belgium,0.48439999999999994,3,3
Belgium,0.48439999999999994,6,4
Belgium,0.48439999999999994,0,2
Belgium,0.48439999999999994,5,4
Belgium,0.48439999999999994,3,4
Belgium,0.48439999999999994,3,4
Belgium,0.48439999999999994,1,4
Belgium,0.48439999999999994,9,3
Belgium,0.48439999999999994,4,3
Belgium,0.48439999999999994,2,4
Belgium,0.48439999999999994,6,3
Belgium,0.48439999999999994,7,4
Belgium,0.48439999999999994,6,3
Belgium,0.48439999999999994,3,2
Belgium,0.48439999999999994,6,4
Belgium,0.48439999999999994,3,3
Belgium,0.48439999999999994,0,4
Belgium,0.48439999999999994,2,3
Belgium,0.48439999999999994,6,3
Belgium,0.48439999999999994,5,3
Belgium,0.48439999999999994,9,4
Belgium,0.48439999999999994,4,3
Belgium,0.48439999999999994,8,3
Belgium,0.48439999999999994,2,4
Belgium,0.48439999999999994,0,3
Belgium,0.48439999999999994,0,4
Belgium,0.48439999999999994,1,3
Belgium,0.48439999999999994,5,4
Belgium,0.48439999999999994,8,3
Belgium,0.48439999999999994,0,4
Belgium,0.48439999999999994,7,4
Belgium,0.48439999999999994,7,4
Belgium,0.48439999999999994,7,4
Belgium,0.48439999999999994,5,4
Belgium,0.48439999999999994,9,3
Belgium,0.48439999999999994,5,3
Belgium,0.48439999999999994,9,3
Belgium,0.48439999999999994,5,4
Belgium,0.48439999999999994,3,2
Belgium,0.48439999999999994,3,3
Belgium,0.48439999999999994,3,4
Belgium,0.48439999999999994,8,3
Belgium,0.48439999999999994,0,3
Belgium,0.48439999999999994,4,3
Belgium,0.48439999999999994,3,4
Belgium,0.48439999999999994,8,3
Belgium,0.48439999999999994,5,4
Belgium,0.48439999999999994,5,4
Belgium,0.48439999999999994,7,4
Belgium,0.48439999999999994,6,4
Belgium,0.48439999999999994,6,3
Belgium,0.48439999999999994,1,3
Belgium,0.48439999999999994,4,3
Belgium,0.48439999999999994,6,4
Belgium,0.48439999999999994,1,3
Belgium,0.48439999999999994,2,4
Belgium,0.48439999999999994,6,4
Belgium,0.48439999999999994,4,3
Belgium,0.48439999999999994,9,3
Belgium,0.48439999999999994,2,2
Belgium,0.48439999999999994,4,3
Belgium,0.48439999999999994,3,3
Belgium,0.48439999999999994,4,3
Belgium,0.48439999999999994,1,4
Belgium,0.48439999999999994,4,4
Belgium,0.48439999999999994,4,4
Belgium,0.48439999999999994,9,3
Belgium,0.48439999999999994,6,3
Belgium,0.48439999999999994,6,3
